Common name,Taxonomy,Reef safe,Description,Max size,Salinity,Tank size,Temperature range,pH range,GH,KH,Nitrate,Dissolved Oxygen,Calcium,Magnesium,Phosphate,Alkalinity
"Blue ring angelfish, annularis angelfish",Pomacanthus annularis,No,,30 cm (11.8 in),,,,,,,,,,,,
"Arabian angelfish, Asfur angelfish",Pomacanthus asfur,No,,40 cm (15.7 in),,,,,,,,,,,,
Bellus angelfish,Genicanthus bellus,Yes,"Light blue all over. Exhibits strong sexual dimorphism: females have wide black bands, males' bands are orange.",18 cm (7.1 in),,,,,,,,,,,,
Blue angelfish,Holacanthus bermudensis,No,"Blue Angelfish has an overall aqua hue with a yellow shimmer and yellow edges on the fins and scales. The Blue Angelfish does not have the striking blue crown or other blue highlights of the Queen Angelfish. This species has been known to reproduce with the Queen Angelfish, making a half breed that looks like a mixture between the two species.",45 cm (17.7 in),,,,,,,,,,,,
Bluespotted angelfish,Chaetodontoplus caeruleopunctatus,No,,21 cm (8.3 in),,,,,,,,,,,,
Blueface angelfish,Pomacanthus xanthometopon,With Caution,,40 cm (15.7 in),,,,,,,,,,,,
Cortez angelfish,Pomacanthus zonipectus,No,Darkly hued with yellow stripes.,46 cm (18.1 in),,,,,,,,,,,,
Emperor angelfish,Pomacanthus imperator,No,"Juveniles are black with blue-white spiraling; adults are blue with yellow stripes, accented with white and black and a blue mask. Will easily be the dominant angelfish if housed with other angels.",40 cm (15.7 in),,,,,,,,,,,,
French angelfish,Pomacanthus paru,No,"Juveniles are black with 3 yellow vertically running stripes, may also display blue on pelvic fins. Adults lard black with white vertical stripes.",41 cm (16.1 in),,,,,,,,,,,,
Gray angelfish,Pomacanthus arcuatus,No,Light grey with dark spots and bluish/grey mask over face. Closely related to French Angelfish.,60 cm (23.6 in),,,,,,,,,,,,
Griffis angelfish,Apolemichthys griffisi,No,"An ashen white angel with thick black bands and spots, it is a rare find within the aquarium trade.",25 cm (9.8 in),,,,,,,,,,,,
"Half-moon angelfish, Yellow bar angelfish",Pomacanthus maculosus,No,Blue with yellow splotch-like marking on side.,50 cm (19.7 in),,,,,,,,,,,,
Koran angelfish,Pomacanthus semicirculatus,No,"Grey towards the face, becoming a navy blue towards the caudal fin with striking iridescent blue accents throughout.",40 cm (15.7 in),,,,,,,,,,,,
Majestic angelfish or blue girdled angelfish,Pomacanthus navarchus,No,"Yellow dorsal and caudal fins connecting to ""saddal"" with dark blue dots. Dark blue underside and anal fin. Electric blue separating yellow and dark blue.",30 cm (11.8 in),,,,,,,,,,,,
Passer angelfish or King angelfish,Holacanthus passer,No,Very dark blue with yellow caudal fin and distinctive white stripe.,36 cm (14.2 in),,,,,,,,,,,,
Personifer angelfish or Queensland yellowtail angelfish,Chaetodontoplus meridithii,No,,37 cm (14.6 in),,,,,,,,,,,,
Queen angelfish,Holacanthus ciliaris,No,"Tan coloured with yellow caudal fin and neon blue outlined fins. This species has been known to reproduce with the Blue Angelfish, making a half breed that looks like a mixture between the two species.",45 cm (17.7 in),,,,,,,,,,,,
Rock beauty,Holacanthus tricolor,No,,25 cm (9.8 in),,,,,,,,,,,,
Royal angelfish,Pygoplites diacanthus,No,Orange and blue striped with dark blue dorsal fin and lemon yellow caudal fin.,25 cm (9.8 in),,,,,,,,,,,,
Scribbled angelfish,Chaetodontoplus duboulayi,No,,25 cm (9.8 in),,,,,,,,,,,,
Japanese swallow angelfish,Genicanthus semifasciatus,Yes,"Black and tan striped back with yellow blaze beginning at the mouth and tapering off towards the centre of the side, with light blueish grey underside. Has distinctively shaped tail resembling that of a swallow.",21 cm (8.3 in),,,,,,,,,,,,
Yellowtail angelfish,Apolemichthys xanthurus,No,,15 cm (5.9 in),,,,,,,,,,,,
Barred angelfish,Centropyge multifasciata,With caution,White fish with vertical black stripes that change to yellow at the belly,12 cm (4.7 in),,,,,,,,,,,,
Bicolor angelfish,Centropyge bicolor,With caution,,15 cm (5.9 in),,,,,,,,,,,,
Blue Velvet Angelfish,Centropyge deborae,,,,,,,,,,,,,,,
Brazilian flameback angelfish,Centropyge aurantonotus,With caution,,8 cm (3.1 in),,,,,,,,,,,,
Coral beauty angelfish,Centropyge bispinosa,With caution,Reddish body with blue back and orange fins. A shy fish that prefers multiple hiding locations.,10 cm (3.9 in),,,,,,,,,,,,
Cherubfish or Pygmy angelfish,Centropyge argi,With caution,Blue colored body with an orange yellow head.,8 cm (3.1 in),,,,,,,,,,,,
Eibli angelfish,Centropyge eibli,With caution,"Tan coloured body with vertical brown stripes and large distinctive black splotch covering the back of the fish, including the caudal fin.",15 cm (5.9 in),,,,,,,,,,,,
Flame angelfish,Centropyge loricula,Yes,Vivid orange-red with vertical black stripes and blue patches toward the end of the dorsal and anal fins.,15 cm (5.9 in),,,,,,,,,,,,
Pearlscale angelfish,Centropyge vroliki,With caution,"Anterior is gray to pearly white with orange accent around eye, posterior is deep black.",12 cm (4.7 in),,,,,,,,,,,,
Herald's angelfish,Centropyge heraldi,With caution,"Completely lemon yellow, with a brown marking around the eye.",10 cm (3.9 in),,,,,,,,,,,,
Keyhole angelfish,Centropyge tibicen,No,"Centropyge type species. Overall black with an elongate vertical black blotch on the middle of the upper sides. When small, mainly black with a white bar. Dorsal and anal fins with submarginal blue line; most of the pelvic and the anterior portion of the anal fin yellow. Caudal fin with submarginal blue line.",19 cm (7.5 in),,,,,,,,,,,,
Lemonpeel angelfish,Centropyge flavissima,With caution,Bright yellow with distinctive dark semicircle by operculum.,14 cm (5.5 in),,,,,,,,,,,,
Multicolor angelfish,Centropyge multicolor,With caution,,9 cm (3.5 in),,,,,,,,,,,,
Orange-back angelfish,Centropyge acanthops,With caution,"Dark blue with golden yellow blaze running from the face down the dorsal fin, with a colourless caudal fin.",8 cm (3.1 in),,,,,,,,,,,,
Pacific pygmy angelfish,Centropyge flavicauda,With caution,,8 cm (3.1 in),,,,,,,,,,,,
Potter's angelfish,Centropyge potteri,With caution,"Similarly coloured to the Coral Beauty, but with a blue body and reddish fins.",10 cm (3.9 in),,,,,,,,,,,,
Rusty angelfish,Centropyge ferrugata,Yes,Tan coloured body with dark spots and a reddish tint around the anal fin.,10 cm (3.9 in),,,,,,,,,,,,
Venustus angelfish,Centropyge venustus,With caution,,12 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(4.7 in),,,,,,,,,,,,
African grouper,Cephalopholis taeniops,No,,69 cm (27.2 in),,,,,,,,,,,,
Vermillion seabass,Cephalopholis miniata,,,50 cm (19.7 in),,,,,,,,,,,,
Blacktip grouper,Epinephelus fasciatus,No,"The tips of the spines of the dorsal fin are black, and it may have a dark red cap above the eyes. There is a variant with a uniformly pale body except for the frontal part.",40 cm (15.7 in),,,,,,,,,,,,
Blue and Yellow grouper,Epinephelus flavocaeruleus,No,,90.0 cm (35.4 in),,,,,,,,,,,,
Blue dot grouper,Cephalopholis argus,No,Deep black to tan fish with blue spots throughout.,50 cm (19.7 in),,,,,,,,,,,,
Blue line grouper,Cephalopholis formosa,No,"Dark tan with horizontal blue stripes that are not particularly straight. The caudal fin has more of these stripes, and they radiate from the base of the fin out to the tips.",34 cm (13.4 in),,,,,,,,,,,,
Chalk bass,Serranus tortugarum,Yes,Blue iridescent body with distinctive black topside that is interrupted by small vertical blue stripes.,8 cm (3.1 in),,,,,,,,,,,,
Coney grouper,Cephalopholis fulva,No,,41 cm (16.1 in),,,,,,,,,,,,
Golden grouper,Mycteroperca rosacea,No,,86 cm (33.9 in),,,,,,,,,,,,
Golden stripe soapfish,Grammistes sexlineatus,No,Chocolate brown with light yellow horizontal stripes. Similar in patterning to C. argus (with exception to the coloration).,30 cm (11.8 in),,,,,,,,,,,,
Harlequin bass,Serranus tigrinus,Yes,"Very striking black and white checkerboard pattern all over, with very long tapering nose.",29 cm (11.4 in),,,,,,,,,,,,
Leaflip grouper,Pogonoperca punctata,No,"Sports a large, hinged mouth and is tan with little spots. Has brown triangle shaped markings down the spine.",35 cm (13.8 in),,,,,,,,,,,,
Marine beta,Calloplesiops altivelis,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Pacific graysby,Cephalopholis panamensis,No,,30 cm (11.8 in),,,,,,,,,,,,
Panther grouper,Cromileptes altivelis,No,"Gorgeous pure white fish with black spots and a distinctive ""hump"" on the head, leading to a popular common name, ""Humpback Grouper"".",75 cm (29.5 in),,,,,,,,,,,,
Painted comber,Serranus scriba,No,"Large fish with classic Bass body, Silvery in colour with vertical tan stripes and a blue underside.",36 cm (14.2 in),,,,,,,,,,,,
Polleni grouper,Cephalopholis polleni,No,,43 cm (16.9 in),,,,,,,,,,,,
Red flag grouper,Cephalopholis urodeta,No,"Very similar to C. miniatus, but the caudal fin is dark.",28 cm (11.0 in),,,,,,,,,,,,
Lyretail grouper,Variola louti,No,"Silver back changing to red around the underside, darkening toward the caudal fin, which is lyre-shaped with neon green edging.",80 cm (31.5 in),,,,,,,,,,,,
Saddle grouper,Plectropomus laevis,No,,125 cm (49.2 in),,,,,,,,,,,,
Spotted grouper,Epinephelus summana,No,"Dark black fish with many light green spots all over body, increasing in number toward the posterior.",52 cm (20.5 in),,,,,,,,,,,,
Strawberry grouper,Cephalopholis spiloparaea,No,,30 cm (11.8 in),,,,,,,,,,,,
V tail grouper,Cephalopholis urodelus,No,,28 cm (11.0 in),,,,,,,,,,,,
Black cap gramma,Gramma melacara,Yes,Purple with a black mask beginning at the mouth and ending at the base of the dorsal fin.,6 cm (2.4 in),,,,,,,,,,,,
Blue assessor,Assessor macneilli,Yes,Entirely navy blue with white edging of the dorsal fin.,7 cm (2.8 in),,,,,,,,,,,,
Royal gramma,Gramma loreto,Yes,"Purple head and anterior, abruptly changing to yellow about halfway down the body. Has black marking through eye and another on the dorsal fin. Do not confuse with the Brazilian Gramma or the Bicolor Dottyback.",5 cm (2.0 in),,,,,,,,,,,,
Brazilian gramma,Gramma brasiliensis,Yes,"Very similar to the royal gramma, however the change from purple to yellow occurs farther down the body and the black markings are absent.",6 cm (2.4 in),,,,,,,,,,,,
Yellow assessor,Assessor flavissimus,Yes,Bright lemon yellow with peach fringing of the dorsal fin and around the eye.,7 cm (2.8 in),,,,,,,,,,,,
Orbiculate batfish,Platax orbicularis,No,Brown with generally random black markings resembling a rotting leaf.,50 cm (19.7 in),,,,,,,,,,,,
Dusky batfish,Platax pinnatus,No,Dark black body completely edged by distinctive yellow and orange.,45 cm (17.7 in),,,,,,,,,,,,
Teira batfish,Platax teira,No,Silver with black fins and a black stripe across the face.,70 cm (27.6 in),,,,,,,,,,,,
Spinyhead blenny,Acanthemblemaria spinosa,Yes,Brown checkered body with distinctive yellow frills on head.,2 cm (0.8 in),,,,,,,,,,,,
Bicolor blenny,Ecsenius bicolor,Yes,Characterized by the striking contrast of a blue head and upper torso followed by a yellow orange lower torso.,11 cm (4.3 in),,,,,,,,,,,,
Black combtooth blenny,Ecsenius namiyei,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Blackline fang blenny,Meiacanthus nigrolineatus,No,Yellow bodied with bright blue mask and dark black line running from the eye to the caudal fin.,9 cm (3.5 in),,,,,,,,,,,,
Black sailfin blenny,Atrosalarias fuscus,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Blue & gold blenny,Enchelyurus flavipes,Yes,,5 cm (2.0 in),,,,,,,,,,,,
Bundoon blenny,Meiacanthus bundoon,No,Black with lighter patch over caudal fin. Very distinctive swallowtail caudal fin.,8 cm (3.1 in),,,,,,,,,,,,
Canary fang blenny,Meiacanthus oualanensis,Yes,"Similarly shaped to M. bundoon, but canary yellow.",5 cm (2.0 in),,,,,,,,,,,,
Diamond blenny,Malacoctenus boehlkei,Yes,"Gray with black splotches, and a yellow mask. Shaped more like hawkfish than a blenny.",6.5 cm (2.6 in),,,,,,,,,,,,
Ember blenny,Cirripectes stigmaticus,No,,12 cm (4.7 in),,,,,,,,,,,,
Harptail blenny,Meiacanthus mossambicus,Yes,"Pale pinkish-grey body with jet-black dorsal and anal fins. Eyes are primarily white, sometimes seen with brown segmentation.",10cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(3.9in),,,,,,,,,,,,
Lawnmower blenny,Salarias fasciatus,Yes,Tan and brown striped and spotted with iridescence. Requires Mature Tank.,14 cm (5.5 in),,,,,,,,,,,,
Linear blenny,Ecsenius lineatus,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Midas blenny,Ecsenius midas,Yes,"Although often seen yellow, this fish has the ability to change its color to match the surroundings. It has a very distinctive swallowtail shaped caudal fin.",13 cm (5.1 in),,,,,,,,,,,,
Molly Miller blenny,Scartella cristata,Yes,"Mottled tan, white, and black covering the body and fins.",12 cm (4.7 in),,,,,,,,,,,,
One spot blenny,Crossosalarias macrospilus,No,,10 cm (3.9 in),,,,,,,,,,,,
Red lip blenny,Ophioblennius atlanticus,Yes,Black to grayish yellow with red patch over mouth.,19 cm (7.5 in),,,,,,,,,,,,
Red Sea mimic blenny,Ecsenius gravieri,,"Sky blue anterior fading to yellow towards the tail, with a black stripe running the eye to the base of the caudal fin.",8 cm (3.1 in),,,,,,,,,,,,
Sailfin blenny,Emblemaria pandionis,Yes,Very similar to Salarias fasciatus but slightly darker and with a much larger dorsal fin.,5 cm (2.0 in),,,,,,,,,,,,
Segmented sailfin blenny,Salarias segmentatus,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Starry blenny,Salarias ramosus,Yes,,14 cm (5.5 in),,,,,,,,,,,,
Striped blenny,Meiacanthus grammistes,Yes,,12 cm (4.7 in),,,,,,,,,,,,
Tail spot blenny,Ecsenius stigmatura,Yes,Drab tan all over with dark spot at the base of the caudal fin and a light yellow line through eye.,6 cm (2.4 in),,,,,,,,,,,,
Two-spot blenny,Ecsenius bimaculatus,Yes,The top half of this fish is black towards the front and fades to white closer to the tail. The bottom half is white with two distinctive black spots right under the pectoral fins.,4.5 cm (1.8 in),,,,,,,,,,,,
Engineer goby,Pholidichthys leucotaenia,Yes,Not actually a blenny but from closely related family Pholidichthys. Juvenile has black eel-shaped body with a distinctive white stripe running down the body. Adults are yellow and black striped.,34 cm (13.4 in),,,,,,,,,,,,
Golden puffer,Arothron meleagris,No,,48 cm (18.9 in),,,,,,,,,,,,
Hawaiian blue puffer,Canthigaster papua,No,,10 cm (3.9 in),,,,,,,,,,,,
Hawaiian saddle puffer,Canthigaster coronata,No,,14.0 cm (5.5 in),,,,,,,,,,,,
Hawaiian spotted puffer,Canthigaster jactator,No,,9 cm (3.5 in),,,,,,,,,,,,
Helmet cowfish,Tetrosomus gibbosus,Caution,Tan with dark speckles and brown spots at the base of the caudal fin.,30 cm (11.8 in),,,,,,,,,,,,
Immaculate puffer,Arothron immaculatus,No,,28 cm (11.0 in),,,,,,,,,,,,
Longhorn cowfish,Lactoria cornuta,Caution,"Grayish tan with very distinctive ""horns"" near the eyes and under the caudal fin.",46 cm (18.1 in),,,,,,,,,,,,
Scribbled boxfish,Ostracion solorensis,Caution,"Dark navy blue with iridescent ""scribbling"" and spots.",12 cm (4.7 in),,,,,,,,,,,,
Dogface pufferfish,Arothron nigropunctatus,Caution,Tan with a brown mask over eyes and other over mouth. Also has yellow markings on the pectoral and dorsal fins.,33 cm (13.0 in),,,,,,,,,,,,
Map puffer,Arothron mappa,No,,65 cm (25.6 in),,,,,,,,,,,,
Porcupine pufferfish,Diodon holocanthus,No,"Tan with slightly darker spots throughout and very conspicuous spines that lay flat against the body. When puffed up, the spikes stand up and make the fish completely inedible.",50 cm (19.7 in),,,,,,,,,,,,
Spotfin porcupinefish,Diodon hystrix,No,White and covered in small black spots.,91 cm (35.8 in),,,,,,,,,,,,
Sharpnose pufferfish,Canthigaster rostrata,Caution,"Cream, with reddish purple topside and underside, and yellow on the caudal fin.",12 cm (4.7 in),,,,,,,,,,,,
Star puffer,Arothron stellatus,No,,120 cm (47.2 in),,,,,,,,,,,,
Stars and stripes puffer,Arothron hispidus,No,,50 cm (19.7 in),,,,,,,,,,,,
Striped dogface puffer,Arothron manilensis,No,,31 cm (12.2 in),,,,,,,,,,,,
Valentini pufferfish,Canthigaster valentini,Caution,Tan with giraffe-like spots and dark brown markings that resemble saddles over the back. Has distinctive bright green eyes.,11 cm (4.3 in),,,,,,,,,,,,
Whitebelly puffer,Canthigaster bennetti,No,,10 cm (3.9 in),,,,,,,,,,,,
Yellow boxfish,Ostracion cubicus,Caution,"Usually seen as a juvenile, bright yellow with little black spots. When it reaches maturity it is gray with yellow lines and pink lips.",45 cm (17.7 in),,,,,,,,,,,,
Copperband butterflyfish,Chelmon rostratus,Caution,"Silver with black edged gold stripes, a long nose, and a black eyespot on the dorsal fin.",20 cm (7.9 in),,,,,,,,,,,,
Schooling bannerfish,Heniochus diphreutes,No,"Sometimes referred to as the ""Poor Man's Moorish Idol"" because of the resemblance to one. White and black striped with yellow caudal fin and a dorsal fin that forms a long, thin banner.",21 cm (8.3 in),,,,,,,,,,,,
Longnose butterflyfish,Forcipiger flavissimus,No,"From the pectoral fins forward, black above the eye and silver below, with an exceptionally mouth. Past the pectoral fins, bright yellow with an eyespot on the anal fin.",22 cm (8.7 in),,,,,,,,,,,,
Raccoon butterflyfish,Chaetodon lunula,No,Very distinctive and complexly colored. Is mostly yellow with a darker saddle and a black and white mask.,20 cm (7.9 in),,,,,,,,,,,,
Redback butterflyfish,Chaetodon paucifasciatus,No,White with black stripes that form chevrons on the side and a bright red patch on the posterior.,14 cm (5.5 in),,,,,,,,,,,,
Merten's butterflyfish,Chaetodon mertensii,No,White with fuzzy black stripes and a yellow posterior. Also has a black line through the eye.,12.5 cm (4.9 in),,,,,,,,,,,,
Teardrop butterflyfish,Chaetodon unimaculatus,No,"Completely yellow with the exception of black stripes at the base of the caudal fin and through the eye, and an eyespot directly below the dorsal fin.",20 cm (7.9 in),,,,,,,,,,,,
Latticed butterflyfish,Chaetodon rafflesii,No,"Very similar to C. unimaculatus, but with scales that are brighter than the body, forming a lattice-like pattern, and lacking the eyespot.",18 cm (7.1 in),,,,,,,,,,,,
Pacific double saddle butterflyfish,Chaetodon ulietensis,No,Silver with two dark saddles over the body (plus a dark mask) and yellow dorsal and caudal fins.,15 cm (5.9 in),,,,,,,,,,,,
Sickle butterflyfish,Chaetodon falcula,No,"Often confused with C. ulietensis, but easily distinguished. The saddles are wedge shaped rather than stripes and do not reach the underside. Overall more yellow coloring.",20 cm (7.9 in),,,,,,,,,,,,
Threadfin butterflyfish,Chaetodon auriga,No,"White anterior with thin black stripes at 45 and 120 degree angles from the head. Posterior is yellow, but with a black wedge shape where the stripes meet the yellow coloring.",23 cm (9.1 in),,,,,,,,,,,,
Tinker's butterflyfish,Chaetodon tinkeri,No,"White with small black spots, a yellow mask, and a black dorsal fin.",15 cm (5.9 in),,,,,,,,,,,,
Masked butterflyfish,Chaetodon semilarvatus,No,Bright lemon yellow with subtle vertical orange stripes and a black splotch behind the eye.,23 cm (9.1 in),,,,,,,,,,,,
Reef butterflyfish,Chaetodon sedentarius,Yes,,15 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(5.9 in),,,,,,,,,,,,
Four-eyed butterflyfish,Chaetodon capistratus,No,,15 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(5.9 in),,,,,,,,,,,,
Banded butterflyfish,Chaetodon striatus,No,,16 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(6.3 in),,,,,,,,,,,,
Saddleback butterflyfish,Chaetodon ephippium,Caution,,30 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(11.8 in),,,,,,,,,,,,
Fragile cardinalfish,Apogon fragilis,Yes:?133?,,5 cm (2.0 in),,,,,,,,,,,,
Banggai cardinal,Pterapogon kauderni,Yes,"Black and silver striped with very tall fins and many white spots. Wild populations have been decimated, consider captive bred specimens. Banggai Cardinalfish are mouthbrooders.",8 cm (3.1 in),,,,,,,,,,,,
