Common name,Taxonomy,Reef safe,Description,Max size,Salinity,Tank size,Temperature range,pH range,GH,KH,Nitrate,Dissolved Oxygen,Calcium,Magnesium,Phosphate,Alkalinity
Ambon scorpionfish,Pteroidichthys amboinensis,Not with shrimp or small fish,,12 cm (4.7 in):?46?,,,,,,,,,,,,
Decoy scorpionfish,Iracundus signifer,Not with shrimp or small fish,,13 cm (5.1 in):?48?,,,,,,,,,,,,
Eschmeyer's scorpionfish,Rhinopias eschmeyeri,Not with shrimp or small fish,,19 cm (7.5 in):?46?,,,,,,,,,,,,
Flasher scorpionfish,Scorpaenopsis macrochir,Not with shrimp or small fish,,13 cm (5.1 in):?48?,,,,,,,,,,,,
Lacey scorpionfish,Rhinopias aphanes,Not with shrimp or small fish,,24 cm (9.4 in):?46?,,,,,,,,,,,,
Leaf scorpionfish,Taenianotus triacanthus,With Caution,,10 cm (3.9 in),,,,,,,,,,,,
Mozambique scorpionfish,Parascorpaena mossambica,Not with shrimp or small fish,,10 cm (3.9 in):?48?,,,,,,,,,,,,
Papuan scorpionfish,Scorpaenopsis papuensis,Not with shrimp or small fish,,20 cm (7.9 in):?48?,,,,,,,,,,,,
Poss's scorpionfish,Scorpaenopsis possi,Not with shrimp or small fish,,19.3 cm (7.6 in):?48?,,,,,,,,,,,,
Rogue scorpion,Amblyapistus taenianotus,With Caution,,10 cm (3.9 in),,,,,,,,,,,,
Sea goblin,Inimicus didactylus,Not with shrimp or small fish,,18 cm (7.1 in),,,,,,,,,,,,
Stone fish,Synanceja verrucosa,No,Highly venomous! Have caused human deaths,40 cm (15.7 in),,,,,,,,,,,,
Weedy scorpionfish,Rhinopias frondosa,Not with shrimp or small fish,,23 cm (9.1 in):?46?,,,,,,,,,,,,
Yellowspotted scorpionfish,Sebastapistes cyanostigma,Not with shrimp or small fish,,8 cm (3.1 in):?48?,,,,,,,,,,,,
Brazilian seahorse,Hippocampus reidi,Caution,ST,"Usually bright yellow, with a particularly long snout.",17 cm (6.7 in),,,,,,,,,,,
Spotted seahorse,Hippocampus kuda,Caution,TR,"Generally yellow, but can also range from tan to dark black.",30 cm (11.8 in),,,,,,,,,,,
Great seahorse,Hippocampus kelloggi,Caution,ST,"Light tan, with some darker specimens.",28 cm (11.0 in),,,,,,,,,,,
Pot-bellied seahorse,Hippocampus abdominalis,Caution,TM,Light-colored with dark spots and a large abdomen.,25 cm (9.8 in),,,,,,,,,,,
Pygmy seahorse,Hippocampus bargibanti,Caution,TR,White with pink (occasionally yellow) knobby protrusions.,2.4 cm (0.9 in),,,,,,,,,,,
Short-snouted seahorse,Hippocampus breviceps,Caution,TM,Grayish to tan with short snout and a spiny head.,15 cm (5.9 in),,,,,,,,,,,
Tiger tail seahorse,Hippocampus comes,Caution,TR,Varying colors with dark striped tail.,18 cm (7.1 in),,,,,,,,,,,
Lined Seahorse,Hippocampus erectus,Caution,ST,Dark colored with lighter belly and white ridges.,19 cm (7.5 in),,,,,,,,,,,
White's Seahorse,Hippocampus whitei,Caution,TM,Fuller bodied with a comparatively larger head.,13 cm (5.1 in),,,,,,,,,,,
Dwarf Seahorse,Hippocampus zosterae,Caution,ST,Similar to H. reidi but much smaller.,5 cm (2.0 in),,,,,,,,,,,
Thorny Seahorse,Hippocampus histrix,Caution,TR,Varying colors with distinctive spines all over body.,17 cm (6.7 in),,,,,,,,,,,
Big eye soldierfish,Myripristis vittata,With Caution,,25 cm (9.8 in),,,,,,,,,,,,
Blackbar soldierfish,Myripristis jacobus,With Caution,,25 cm (9.8 in),,,,,,,,,,,,
Glass eye squirrelfish,Heteropriacanthus cruentatus,With Caution,,30 cm (11.8 in),,,,,,,,,,,,
Popeye catalufa soldierfish,Pristigenys serrula,With Caution,,34 cm (13.4 in),,,,,,,,,,,,
Scarlet squirrelfish,Sargocentron tiere,With Caution,,33 cm (13.0 in),,,,,,,,,,,,
Striped squirrelfish,Sargocentron xantherythrum,With Caution,,18 cm (7.1 in),,,,,,,,,,,,
Whitespotted bamboo shark,Chiloscyllium plagiosum,No,Requires a minimum 160 gallon aquarium. Does well in home aquaria and will mate/reproduce in larger aquariums. Sometimes called the Marbled Bamboo Cat Shark.,83 cm (32.7 in),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Brownbanded bamboo shark,Chiloscyllium punctatum,No,Requires a minimum 170 gallon aquarium. One of the most common sharks in the North American aquarium trade and does well in home aquaria as it will easily acclimate to captivity and will mate/reproduce in aquariums. Juveniles may take a while to begin feeding if newly acquired. Sometimes called the Banded catshark.,132 cm (52.0 in),,,,,,,,,,,,
Epaulette shark,Hemiscyllium ocellatum,with caution (eats inverts),"Requires a minimum 260 gallon aquarium. One of the best sharks for home aquaria as it will easily acclimate to captivity and will mate/reproduce in aquariums. Adult males might behave aggressively to other male sharks including male Epualette sharks, and harass females. they aren't very active so a 200-gallon may be acceptable",107 cm (42.1 in),,,,,,,,,,,,
Horn shark,Heterodontus francisci,No,Requires a minimum 240 gallon aquarium. A sub-tropical species of shark. The most common bullhead shark in the North American aquarium trade.,122 cm (48.0 in),,,,,,,,,,,,
Port Jackson shark,Heterodontus portusjacksoni,No,Requires a minimum 750 gallon aquarium. A sub-tropical species of shark which may be a host to numerous parasites. It will also eat small fish at night.,165 cm (65.0 in),,,,,,,,,,,,
Coral catshark,Atelomycterus marmoratus,No,Requires a minimum 110 gallon aquarium. Active during the night and will try to eat fish housed with them (even ones that are too big to swallow). Two color variants are commonly found in fish stores in the US. Also called the Marbled catshark which is a different species of shark (Atelomycterus macleayi).,70 cm (27.6 in),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Marbled catshark,Atelomycterus macleayi,No,"Requires a minimum 70 gallon aquarium. Uncommon in the aquarium trade although it is an ideal aquarium species of shark. Commonly confused with the Coral catshark (Atelomycterus marmoratus). Unlike the Coral catshark which is black with white spots and bars, the Marbled catshark is pale with black spots and seven grey saddles and is smaller and more docile.",60 cm (23.6 in),,,,,,,,,,,,
Nurse shark,Ginglymostoma cirratum,No,"Requires a minimum 4,800 gallon aquarium. Although durable, the Nurse shark will grow too large for most home aquariums. It is an aggressive feeder which will make it harder for you to feed more reclusive sharks and it can knock over/rearrange aquarium decorations in a small aquarium.",430 cm (169.3 in),,,,,,,,,,,,
Zebra shark,Stegostoma fasciatum,No,"Requires a minimum 6,200 gallon aquarium. The Zebra shark will grow too large for most home aquariums. Sometimes the juveniles of this shark (20–36 cm or 7.9–14.2in long) are sold and require a minimum 100 gallon aquarium. A juvenile Zebra shark is shown in the picture while adults are much larger and have pale coloration with black spots.[circular reference] Also called the Leopard shark which is a different species of shark (Triakis semifasciata).",354 cm (139.4 in),,,,,,,,,,,,
Leopard shark,Triakis semifasciata,No,"Requires a minimum 4,500 gallon aquarium. A sub-tropical species of shark and may live a long time in captivity (there are reports of over 20 years).",198 cm (78.0 in),,,,,,,,,,,,
Banded houndshark,Triakis scyllium,With Caution,Requires a minimum 750 gallon aquarium. Markings on the shark fade with age but not completely.,150 cm (59.1 in),,,,,,,,,,,,
Gray smooth-hound,Mustelus californicus,No,"Requires a minimum 1,700 gallon aquarium. A sub-tropical and active species of shark that requires a tank with plenty of room to swim which will do better in circular and oval shaped tanks rather than rectangular ones. It will jump out of uncovered aquariums.",116 cm (45.7 in),,,,,,,,,,,,
Brown smooth-hound,Mustelus henlei,No,"Requires a minimum 1,200 gallon aquarium. A sub-tropical and active species of shark that requires a tank with plenty of room to swim. This shark will do better in circular and oval shaped tanks where they can have an uninterrupted swimming pattern rather than rectangular tanks. It will jump out of uncovered aquariums and it is more likely to suffer from shipping stress than its less active relatives.",100 cm (39.4 in),,,,,,,,,,,,
Tasselled wobbegong,Eucrossorhinus dasypogon,No,Requires a minimum 360 gallon aquarium. Will eat any fish or crustacean housed with it that can be swallowed entirely. Slow-growing when not overfed.,125 cm (49.2 in),,,,,,,,,,,,
Japanese wobbegong,Orectolobus japonicus,No,Requires a minimum 170 gallon aquarium. Rare in the North American aquarium trade.,118 cm (46.5 in),,,,,,,,,,,,
Ornate wobbegong,Orectolobus ornatus,No,"Requires a minimum 3,150 gallon aquarium. The Ornate wobbegong will grow too large for most home aquariums and will eat other elasmobranchs. It is the most common wobbegong in the North American aquarium trade.",290 cm (114.2 in),,,,,,,,,,,,
Spotted wobbegong,Orectolobus maculatus,No,"Requires a minimum 3,150 gallon aquarium. Although durable, the Spotted wobbegong will grow too large for most home aquariums and will eat other elasmobranchs.",320 cm (126.0 in),,,,,,,,,,,,
Northern wobbegong,Orectolobus wardi,No,"Requires a minimum 110 gallon aquarium. The Northern wobbegong has a passive personality and a small maximum size, and may not eat initially when it has been added to an aquarium and is rarely collected. An aquarist can handle this shark without a lot fear of getting bitten.",63 cm (24.8 in),,,,,,,,,,,,
Blacktip reef shark,Carcharhinus melanopterus,No,"Requires a minimum 5,750 gallon aquarium. Easily startled by quick movements and the sudden entry an aquarist in their aquarium which may cause them to jump out of an open tank or hit the walls of their aquarium, leading to death. Must keep swimming in order to breath thus requiring a very large aquarium.",200 cm (78.7 in),,,,,,,,,,,,
Whitetip reef shark,Triaenodon obesus,No,"Requires a minimum 8,400 gallon aquarium. Can destroy aquarium decorations when moving through the décor to find food. Often has goiter.",213 cm (83.9 in),,,,,,,,,,,,
Bonnethead shark,Sphyrna tiburo,No,"Requires a minimum 2,600 gallon aquarium. Occasionally available and requires expert care. When newly added to an aquarium, the Bonnethead shark will often swim at the surface of the water and lift the front of its head above the surface. When it has settled in, the shark will stop this activity or begin to do it less often. Must keep moving in order to breath.[circular reference]",213 cm (83.9 in),,,,,,,,,,,,
Shark egg case,Selachimorpha sp. Egg case (Chondrichthyes),N/A,"May take 70-90+ days to hatch. Chiloscyllium shark egg cases are hardy and available. Heterodontus, Scyliorhinidae, and Stegostoma shark egg cases are also available.",Mixed[circular reference],,,,,,,,,,,,
"Black snapper, black and white snapper",Macolor niger,No,,76 cm (29.9 in),,,,,,,,,,,,
Emperor snapper,Lutjanus sebae,No,,114 cm (44.9 in),,,,,,,,,,,,
Threadfin snapper,Symphorichthys spilurus,No,,58 cm (22.8 in),,,,,,,,,,,,
Yellowback fusilier,Caesio xanthonota,No,,38 cm (15.0 in),,,,,,,,,,,,
"Yellow-Banded Snapper, Hussar Emperor Snapper",Lutjanus adetii,No,,50 cm (19.7 in),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Achilles tang,Acanthurus achilles,Yes,Passive aggressive. This fish is native to the waters of Hawaii and the South Pacific and therefore requires substantial turbulent flow and circulation to be kept in an aquarium. This fish should only be kept in a six-foot or large aquarium as it requires a large amount of swim room. Very prone to Cryptocaryon irritans,28 cm (11.0 in),,,,,,,,,,,,
Atlantic blue tang,Acanthurus coeruleus,Yes,Less aggressive than Achilles or Powder Blue,16 in,,,,,,,,,,,,
Blue eyed tang,Ctenochaetus binotatus,Yes,,,,,,,,,,,,,,
Blue lined surgeonfish,Acanthurus nigroris,Yes,,,,,,,,,,,,,,
Bristletooth tang,Ctenochaetus striatus,Yes,,,,,,,,,,,,,,
Chevron tang,Ctenochaetus hawaiiensis,Yes,Bright orange when young and dark olive green when transitioned fully to juvenile.,,,,,,,,,,,,,
Clown tang,Acanthurus lineatus,Yes,One of the most aggressive tangs,15 inches,,,,,,,,,,,,
Convict tang,Acanthurus triostegus,Yes,,,,,,,,,,,,,,
Desjardini tang,Zebrasoma desjardinii,Yes,,,,,,,,,,,,,,
Doctorfish,Acanthurus chirurgus,Yes,,,,,,,,,,,,,,
Dussumieri tang,Acanthurus dussumieri,Yes,,53 cm (20.9 in),,,,,,,,,,,,
Eibli mimic tang,Acanthurus tristis,Yes,,,,,,,,,,,,,,
Gold rim tang,Acanthurus nigricans,Yes,,,,,,,,,,,,,,
Regal / Hippo tang,Paracanthurus hepatus,Yes,Very prone to Cryptocaryon irritans. More tolerant of other tangs than most other species.,,,,,,,,,,,,,
Kole tang,Ctenochaetus strigosus,Yes,,,,,,,,,,,,,,
Lavender tang,Acanthurus nigrofuscus,Yes,,,,,,,,,,,,,,
Lopezi tang,Naso lopezi,Yes,,,,,,,,,,,,,,
"Mimic tang, Chocolate tang",Acanthurus pyroferus,Yes,,,,,,,,,,,,,,
"Naso tang, blonde naso tang",Naso lituratus,Yes,,,,,,,,,,,,,,
Orange shoulder tang,Acanthurus olivaceus,Yes,,,,,,,,,,,,,,
Powder blue tang,Acanthurus leucosternon,Yes,Very prone to Cryptocaryon irritans.,,,,,,,,,,,,,
Powder brown tang,Acanthurus japonicus,Yes,,,,,,,,,,,,,,
Purple tang,Zebrasoma xanthurum,Yes,,,,,,,,,,,,,,
Sailfin tang,Zebrasoma veliferum,Yes,,,,,,,,,,,,,,
Scopas tang,Zebrasoma scopas,Yes,Similar to the yellow tang in shape and feeding.,,,,,,,,,,,,,
Sohal tang,Acanthurus sohal,Yes,One of the larger more aggressive tangs,40 cm (15.7 in),,,,,,,,,,,,
Tennent tang,Acanthurus tennenti,Yes,,,,,,,,,,,,,,
Thompson's surgeonfish,Acanthurus thompsoni,Yes,,28 cm (11.0 in),,,,,,,,,,,,
Tomini tang,Ctenocheatus tominiensis,Yes,This fish requires ample swimming room and is difficult to feed.,,,,,,,,,,,,,
Unicorn tang,Naso unicornis,Yes,,,,,,,,,,,,,,
Vlamingi tang,Naso vlamingii,Yes,,,,,,,,,,,,,,
White freckled surgeon,Acanthurus maculiceps,Yes,,,,,,,,,,,,,,
Yellow tang,Zebrasoma flavescens,Yes,,,,,,,,,,,,,,
Yellowfin surgeon,Acanthurus xanthopterus,Yes,,,,,,,,,,,,,,
Blue-headed tilefish,Hoplolatilus starcki,,,10 cm (3.9 in),,,,,,,,,,,,
Purple tilefish,Hoplolatilus purpureus,,,15 cm (5.9 in),,,,,,,,,,,,
Yellow tilefish,Hoplolatilus luteus,,,15 cm (5.9 in),,,,,,,,,,,,
Assasi trigger,Rhinecanthus assasi,No,,30 cm (11.8 in),,,,,,,,,,,,
Blue jaw trigger / blue throat trigger,Xanthichthys auromarginatus,Widely regarded as the only reef safe trigger.,,30 cm (11.8 in),,,,,,,,,,,,
Blue line trigger,Pseudobalistes fuscus,No,,55 cm (21.7 in),,,,,,,,,,,,
Bursa trigger,Rhinecanthus verrucosus,No,,23 cm (9.1 in),,,,,,,,,,,,
Clown trigger,Balistoides conspicillum,No,,50 cm (19.7 in),,,,,,,,,,,,
Crosshatch trigger,Xanthichthys mento,No,"A shy reserved fish when first added to the aquarium, comes into its own when it associates itself with the aquarist. Infrequently available",29 cm (11.4 in),,,,,,,,,,,,
Goldenback trigger,Xanthichthys caeruleolineatus,No,Rarely available,35 cm (13.8 in),,,,,,,,,,,,
Golden heart trigger,Balistes punctatus,No,,61 cm (24.0 in),,,,,,,,,,,,
Halfmoon trigger,Sufflamen chrysopterum,No,,30 cm (11.8 in),,,,,,,,,,,,
Hawaiian black trigger,Melichthys niger,No,,50 cm (19.7 in),,,,,,,,,,,,
Lei trigger,Sufflamen bursa,No,,25 cm (9.8 in),,,,,,,,,,,,
Indian black trigger,Melichthys indicus,No,,25 cm (9.8 in),,,,,,,,,,,,
Niger trigger,Odonus niger,No,"Among the more peaceful of triggers, can usually be kept in a community tank",50 cm (19.7 in),,,,,,,,,,,,
Picasso trigger,Rhinecanthus aculeatus,No,,30 cm (11.8 in),,,,,,,,,,,,
Pinktail trigger,Melichthys vidua,No,,40 cm (15.7 in),,,,,,,,,,,,
Queen trigger,Balistes vetula,No,A large fish that should only be kept in very large aquariums.,60 cm (23.6 in),,,,,,,,,,,,
Rectangular trigger,Rhinecanthus rectangulus,No,,30 cm (11.8 in),,,,,,,,,,,,
Sargassum trigger,Xanthichthys ringens,No,"A shy reserved fish when first added to the aquarium, comes into its own when it associates itself with the aquarist. Infrequently available",25 cm (9.8 in),,,,,,,,,,,,
Starry trigger,Abalistes stellatus,No,,60 cm (23.6 in),,,,,,,,,,,,
Titan trigger,Balistoides viridescens,No,Can only be housed in the largest of marine aquariums,75 cm (29.5 in),,,,,,,,,,,,
Undulated trigger,Balistapus undulatus,No,Probably the most aggressive fish kept in marine aquariums. Older specimens should be housed alone.,30 cm (11.8 in),,,,,,,,,,,,
Whitetail trigger,Sufflamen albicaudatum,With Caution,,22 cm (8.7 in),,,,,,,,,,,,
Banana wrasse,Thalassoma lutescens,No,,30 cm (11.8 in),,,,,,,,,,,,
Bicolor cleaner wrasse,Labroides bicolor,Yes,,,,,,,,,,,,,,
Bird wrasse,Gomphosus varius,No,,28 cm (11.0 in),,,,,,,,,,,,
Bluehead wrasse,Thalassoma bifasciatum,With Caution,,28 cm (11.0 in),,,,,,,,,,,,
Bluestreak cleaner wrasse,Labroides dimidiatus,Yes,as the names suggests it is a cleaner fish and will eat some parasites,,,,,,,,,,,,,
Carpenter's flasher wrasse,Paracheilinus carpenteri,Yes; feeds on tiny organisms,,8 cm (3.1 in),,,,,,,,,,,,
Cheeklined maori wrasse,Cheilinus diagrammus,No,,36 cm (14.2 in),,,,,,,,,,,,
Christmas wrasse,Thalassoma trilobatum,No,,15 cm (5.9 in),,,,,,,,,,,,
Cortez rainbow wrasse,Thalassoma lucasanum,No,,15 cm (5.9 in),,,,,,,,,,,,
Dragon wrasse,Novaculichthys taeniourus,No,,30 cm (11.8 in),,,,,,,,,,,,
Eight line wrasse,Pseudocheilinus octotaenia,Yes; feeds on tiny organisms,,,,,,,,,,,,,,
Exquisite fairy wrasse,Cirrhilabrus exquisitus,Yes; feeds on tiny organisms,,10 cm (3.9 in),,,,,,,,,,,,
Fine-spotted fairy wrasse,Cirrhilabrus punctatus,Yes; feeds on tiny organisms,,10 cm (3.9 in),,,,,,,,,,,,
Flame wrasse,Cirrhilabrus jordani,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Formosa wrasse,Coris formosa,No,,61 cm (24.0 in),,,,,,,,,,,,
Four line wrasse,Pseudocheilinus tetrataenia,Yes; feeds on tiny organisms,,,,,,,,,,,,,,
Goldbar wrasse,Thalassoma hebraicum,With Caution,,23 cm (9.1 in),,,,,,,,,,,,
Greenback fairy wrasse,Cirrhilabrus scottorum,Yes; feeds on tiny organisms,,15 cm (5.9 in),,,,,,,,,,,,
Harlequin tusk,Choerodon fasciatus,"Generally, yes, but may eat shrimp",,,,,,,,,,,,,,
Hawaiian cleaner wrasse,Labroides phthirophagus,Yes,,,,,,,,,,,,,,
Hoeven's wrasse,Halichoeres melanurus,With Caution,,13 cm (5.1 in),,,,,,,,,,,,
Jansen saddle wrasse,Thalassoma jansenii,No,,20 cm (7.9 in),,,,,,,,,,,,
Labout's fairy wrasse,Cirrhilabrus laboutei,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Leopard wrasse,Macropharyngodon meleagris,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Lineatus fairy wrasse,Cirrhilabrus lineatus,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Longfin fairy wrasse,Cirrhilabrus rubriventralis,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Lyretail wrasse/Moon wrasse,Thalassoma lunare,No,,25 cm (9.8 in),,,,,,,,,,,,
Marble wrasse,Halichoeres hortulanus,No,,28 cm (11.0 in),,,,,,,,,,,,
McCosker's flasher wrasse,Paracheilinus mccoskeri,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Multicolor lubbock's wrasse,Cirrhilabrus lubbocki,Yes; feeds on tiny organisms,,8 cm (3.1 in),,,,,,,,,,,,
Multicolor velvet wrasse,Cirrhilabrus cyanopleura,Yes; feeds on tiny organisms,,,,,,,,,,,,,,
Mystery wrasse,Pseudocheilinus ocellatus,Yes,,,,,,,,,,,,,,
Orange-back fairy wrasse,Cirrhilabrus aurantidorsalis,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Pastel-green wrasse,Halichoeres chloropterus,With Caution,,20 cm (7.9 in),,,,,,,,,,,,
Pinkface wrasse,Thalassoma quinquevittatum,With Caution,,15 cm (5.9 in),,,,,,,,,,,,
Potter's wrasse,Macropharyngodon geoffroyi,Yes; feeds on tiny organisms,,,,,,,,,,,,,,
Red coris wrasse,Coris gaimard,No,,36 cm (14.2 in),,,,,,,,,,,,
Red-head fairy wrasse,Cirrhilabrus solorensis,Yes; feeds on tiny organisms,,13 cm (5.1 in),,,,,,,,,,,,
Red velvet wrasse,Cirrhilabrus rubrisquamis,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Scarlet pin stripe wrasse,Pseudocheilinus evanidus,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Six line wrasse,Pseudocheilinus hexataenia,Yes,Small pink fish with six purple horizontal lines. Sometimes added to help control flatworms or parasitic snail populations. Semi-aggressive and may pick on shy fish.,8 cm (3.1 in),,,,,,,,,,,,
Radiant wrasse,Halichoeres iridis,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Rhomboid fairy wrasse,Cirrhilabrus rhomboidalis,Yes,Golden body with purple horizontal stripes on head.,13 cm (5.1 in),,,,,,,,,,,,
Whip fin fairy wrasse,Cirrhilabrus filamentosus,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Yellow wrasse,Halichoeres chrysus,Yes,Yellow body with three or occasionally four black dots on dorsal fins. Require sand bed for sleeping.,13 cm (5.1 in),,,,,,,,,,,,
Yellow & purple wrasse,Halichoeres trispilus,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Yellowband wrasse,Cirrhilabrus luteovittatus,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Yellow fin fairy wrasse,Cirrhilabrus flavidorsalis,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Yellow-flanked fairy wrasse,Cirrhilabrus lyukyuensis,Yes,,10 cm (3.9 in),,,,,,,,,,,,
